id,numero,rep,TypeVoie,NomVoieReste,code_postal,nom_commune,x,y,IdentifiantImmeuble,NumeroVoieImmeuble,ComplementNumeroVoieImmeuble,TypeVoieImmeuble,NomVoieImmeuble,CodePostalImmeuble,CommuneImmeuble,CoordonneeImmeubleX,CoordonneeImmeubleY,Label
12140_hb3ayu_00081,81,,place,des artisans,12200,Martiel,614123.35,6364733.58,IMB/12084/X/00I9,24,,rue,des Baumèles,12100,Creissels,703990.3338,6331267.166,0
12140_hb3ayu_00059,59,,place,des artisans,12200,Martiel,614137.37,6364721.61,IMB/12044/X/006Y,27,,,Grand Rue,12360,Camarès,690187.4307,6302622.819,0
12140_s64usw_00016,16,,place,de la tour,12200,Martiel,614226.16,6364699.29,IMB/12140/X/009A,16,,place,de la Tour,12200,Martiel,614222.1244,6364711.682,1
12053_0160_00674,674,,route,de Graves,12260,La Capelle-Balaguier,614779.35,6370982.89,IMB/12175/X/002G,117,,impasse,de Brengou,12260,Ols-et-Rinhodes,617003.0576,6374336.409,0
12140_gvysc8_00031,31,,chemin,de l'allée verte,12200,Martiel,614990.7,6364597.37,IMB/12140/X/000C,31,,chemin,de l'Allée Verte,12200,Martiel,614986.9142,6364609.761,1
12287_qnptok_00446,446,,route,des Granges,12200,Vailhourles,615282.84,6359659.06,IMB/12287/X/00FT,446,,route,des Granges,12200,Vailhourles,615290.0219,6359648.275,1
12217_rcr09q_02218,2218,,route,de margues,12260,Sainte-Croix,616489.59,6367897.4,IMB/12217/X/00AN,2218,,route,de Margues,12260,Ste-Croix,616487.8347,6367910.196,1
12205_sti5l2_02183,2183,,route,du Mas de la Borie,12200,La Rouquette,616711.68,6354548.66,IMB/12045/X/000A,37,,route,des Croix,12160,Camboulazet,656413.8208,6351132.341,0
12205_hv8tbb_00264,264,,rue,des Buis,12200,La Rouquette,617594.96,6360524.19,IMB/12171/X/004X,77,,chemin,des Amoriers,12330,Nauviale,656896.258,6380518.174,0
12217_0330_00372,372,,route,de fréjaviole,12260,Sainte-Croix,618273.24,6369181.7,IMB/12217/X/0031,372,,route,de Frejaviole,12260,Ste-Croix,618260.3116,6369182.936,1
12167_0096_00006,6,,rue,de la Roque,12270,Najac,618475.86,6347349.44,IMB/12198/X/00JT,5,,chemin,de la Bade,12240,Rieupeyroux,639204.8142,6356462.951,0
12167_0096_00004,4,,rue,de la Roque,12270,Najac,618479.14,6347350.07,IMB/12203/X/009C,2,,rue,Robert Migairou,12250,Roquefort-sur-Soulzon,696884.3244,6319529.257,0
12167_0096_00002,2,,rue,de la Roque,12270,Najac,618483.46,6347350.45,IMB/12168/X/00JB,19,,rue,du Faubourg Haut,12230,Nant,724005.2697,6324933.506,0
12167_0096_00001,1,,rue,de la Roque,12270,Najac,618484.31,6347347.67,IMB/12084/X/0054,2,,avenue,Jean Monnet,12100,Creissels,703557.6921,6331547.835,0
12217_0130_00269,269,,chemin,buissonier,12260,Sainte-Croix,618502.2,6366794.33,IMB/12199/X/00J2,6,,rue,du Prince Noir,12390,Rignac,643464.436,6368102.943,0
12217_2qfav9_00243,243,,route,de lagarrigue,12260,Sainte-Croix,618515.99,6367225.21,IMB/12033/X/01IA,5,,rue,Henri Canonge,12340,Bozouls,678383.3021,6375089.498,0
12217_0760_00244,244,,route,de la valette,12260,Sainte-Croix,618613.05,6366588.92,IMB/12217/X/0013,244,,route,de la Valette,12260,Ste-Croix,618610.9316,6366601.676,1
12217_0760_00086,86,,route,de la valette,12260,Sainte-Croix,618760.67,6366657.33,IMB/12157/X/00EW,125,,route,du Château,12630,Montrozier,675572.2385,6366620.995,0
12167_0060_00020,20,,avenue,de la Gare,12270,Najac,618921.86,6347336.14,IMB/12013/X/023K,19,,lieu dit,Tramons Bas,12110,Aubin,643374.9332,6383745.075,0
12167_0060_00028,28,,avenue,de la Gare,12270,Najac,618921.86,6347336.14,IMB/12006/X/00GL,1,,route,de la Sarradelle,12430,Alrance,672958.3336,6339987.061,0
12217_0440_00561,561,,route,du mas de fournier,12260,Sainte-Croix,618956.28,6368786.79,IMB/12105/X/009X,9,,rue,de la Fontaine,12270,La Fouillade,623479.6697,6348420.269,0
12150_0205_01065,1065,,chemin,des Tempourets,12200,Monteils,619235.87,6354548.02,IMB/12300/X/0281,3,,impasse,Louis Caussanel,12200,Villefranche-de-Rouergue,623711.8637,6362457.705,0
12281_0320_00247,247,,rue,de Lacaze,12200,Toulonjac,619704.75,6365425.67,IMB/12281/X/008E,247,,rue,de Lacaze,12200,Toulonjac,619703.6158,6365412.703,1
12150_xnswft_00829,829,,lotissement,Lacapelle,12200,Monteils,620115.31,6353257.44,IMB/12150/X/0079,829,,lotissement,Lacapelle,12200,Monteils,620103.524,6353252.063,1
12205_jl4fwj_00101,101,,chemin,de la Source,12200,La Rouquette,620244.83,6358453.67,IMB/12208/X/00HI,19,,boulevard,de Verdun,12400,St-Affrique,690376.0896,6317625.763,0
12281_blm296_00118,118,,allee,Beausoleil,12200,Toulonjac,620314.48,6364783.77,IMB/12065/X/004L,32,,rue,du Barri,12120,Centrès,652642.4651,6340776.956,0
12150_0130_00706,706,,chemin,de Lafage,12200,Monteils,620525.97,6354284.3,IMB/12168/X/00JG,8,,rue,du Faubourg Haut,12230,Nant,724060.3202,6324908.266,0
12205_racde7_00073,73,,route,de la Sicardie,12200,La Rouquette,621085.32,6357922.68,IMB/12205/X/00PL,73,,route,de la Sicardié,12200,La Rouquette,621092.0057,6357933.792,1
12205_racde7_00181,181,,route,de la Sicardie,12200,La Rouquette,621098.88,6357826.85,IMB/12205/X/00A6,181,,route,de la Sicardié,12200,La Rouquette,621111.8601,6357825.733,1
12300_1990_00100,100,,route,de Montauban,12200,Villefranche-de-Rouergue,621144.65,6362892.94,IMB/12168/X/00JW,13,,rue,du Faubourg Haut,12230,Nant,724006.4482,6324890.91,0
12210_w92o4z_00948,948,,route,du Pradel,12270,Saint-André-de-Najac,621527.32,6344020.38,IMB/12210/X/007B,948,,route,du Pradel,12270,St-André-de-Najac,621529.881,6344033.038,1
12300_2470_00100,100,,avenue,du Quercy,12200,Villefranche-de-Rouergue,621690.61,6362871.79,IMB/12203/X/008Z,13,,rue,du Ségala,12250,Roquefort-sur-Soulzon,696686.1028,6318794.102,0
12300_a100_00028,28,,,Les Mas du Plantou,12200,Villefranche-de-Rouergue,622106.51,6363432.13,IMB/12300/X/07EJ,28,,,les Mas du Plantou,12200,Villefranche-de-Rouergue,622119.3455,6363433.781,1
12300_1141_00038,38,,avenue,de Fondies,12200,Villefranche-de-Rouergue,622336.29,6361159.29,IMB/12050/X/000D,24,,place,de la Lande,12290,Canet-de-Salars,680405.2796,6348485.344,0
12300_3085_00045,45,,avenue,de Verdun,12200,Villefranche-de-Rouergue,622377.22,6361633.52,IMB/12300/X/00QB,45,,avenue,de Verdun,12200,Villefranche-de-Rouergue,621381.105,6363140.141,1
12300_0608_00067,67,,avenue,du Champ Rouget,12200,Villefranche-de-Rouergue,622379.27,6363344.21,IMB/12063/X/001J,2,,avenue,du Général de Gaulle,12230,La Cavalerie,712323.0399,6323404.734,0
12300_0608_00064,64,,avenue,du Champ Rouget,12200,Villefranche-de-Rouergue,622385.33,6363350.8,IMB/12225/X/009G,11,,route,de Linas,12100,St-Georges-de-Luzençon,699004.2311,6330496.563,0
12300_0608_00039,39,,avenue,du Champ Rouget,12200,Villefranche-de-Rouergue,622399.23,6363321.08,IMB/12301/X/00KY,18,,rue,des Condamines,12260,Villeneuve,622913.6936,6371149.88,0
12300_0608_00042,42,,avenue,du Champ Rouget,12200,Villefranche-de-Rouergue,622406.46,6363326.32,IMB/12169/X/00AD,7,,avenue,de Sauveterre de Rouergue,12800,Naucelle,647059.6263,6345015.057,0
12300_3000_00027,27,,chemin,des 13 Pierres,12200,Villefranche-de-Rouergue,622408.88,6362494.15,IMB/12244/X/00F3,98,,rue,des Cyprès,12490,St-Rome-de-Tarn,692340.6119,6327279.987,0
12300_3085_00027,27,,avenue,de Verdun,12200,Villefranche-de-Rouergue,622482.08,6361746.1,IMB/12300/X/00QC,27,,avenue,de Verdun,12200,Villefranche-de-Rouergue,621353.6307,6363131.61,1
12300_1141_00001,1,,avenue,de Fondies,12200,Villefranche-de-Rouergue,622543.18,6361373.39,IMB/12300/X/08SP,20,,chemin,des Planques,12200,Villefranche-de-Rouergue,621007.9014,6362421.631,0
12300_1141_00001,1,,avenue,de Fondies,12200,Villefranche-de-Rouergue,622543.18,6361373.39,IMB/12119/X/00DT,46,,route,de l'Aubrac,12210,Laguiole,688532.8192,6398494.489,0
12242_0040_00002,2,,route,de la Combe,12200,Saint-Rémy,622574.43,6367167.82,IMB/12300/X/079E,55,,avenue,du Ségala,12200,Villefranche-de-Rouergue,623350.4867,6360696.762,0
12242_0040_00001,1,,route,de la Combe,12200,Saint-Rémy,622574.43,6367167.82,IMB/12006/X/0059,1,,route,de la Parranelle,12430,Alrance,673375.8425,6339897.925,0
12300_2470_00059_bis,59,bis,Avenue,du Quercy,12200,Villefranche-de-Rouergue,622604.24,6362150.01,IMB/12300/X/00XE,59,B,Avenue,du Quercy,12200,Villefranche-de-Rouergue,622598.7439,6362153.2,1
12300_1215_00011,11,,rue,Frédéric Mistral,12200,Villefranche-de-Rouergue,622614.62,6362689.6,IMB/12300/X/03ET,11,,rue,Frédéric Mistral,12200,Villefranche-de-Rouergue,622617.2997,6362702.341,1
12300_2470_00059_ter,59,ter,Avenue,du Quercy,12200,Villefranche-de-Rouergue,622621.12,6362129.47,IMB/12300/X/00YI,59,T,Avenue,du Quercy,12200,Villefranche-de-Rouergue,622595.4777,6362158.033,1
12300_2390_00035,35,,rue,des Potiers,12200,Villefranche-de-Rouergue,622621.54,6361423.86,IMB/12052/X/004T,5,,avenue,Pasteur,12700,Capdenac-Gare,627308.0386,6386706.719,0
12300_1215_00008,8,,rue,Frédéric Mistral,12200,Villefranche-de-Rouergue,622622.43,6362689.84,IMB/12287/X/000P,202,,route,du Tourron,12200,Vailhourles,612680.9049,6356913.544,0
12300_3140_00027,27,,avenue,Vincent Cibiel,12200,Villefranche-de-Rouergue,622642.23,6362361.63,IMB/12300/X/0177,27,,avenue,Vincent Cibiel,12200,Villefranche-de-Rouergue,622630.5822,6362355.943,1
12300_0590_00070,70,,avenue,Joseph Caylet,12200,Villefranche-de-Rouergue,622830.28,6360880.13,IMB/12057/X/00AE,1,,rue,de la Côte Vieille,12120,Cassagnes-Bégonhès,662276.3683,6341212.075,0
12300_0590_00104,104,,avenue,Joseph Caylet,12200,Villefranche-de-Rouergue,622830.28,6360880.13,IMB/12168/X/00IU,27,,rue,du Faubourg Bas,12230,Nant,724370.4378,6324719.505,0
12300_0590_00075,75,,avenue,Joseph Caylet,12200,Villefranche-de-Rouergue,622844.59,6360928.84,IMB/12013/X/023L,17,,lieu dit,Tramons Bas,12110,Aubin,643362.7032,6383731.527,0
12300_0590_00004,4,,avenue,Joseph Caylet,12200,Villefranche-de-Rouergue,622855.14,6361053.92,IMB/12056/X/00DY,80,,avenue,de Marengo,12160,Baraqueville,654473.2585,6353350.394,0
12300_0114_00005,5,,rue,Antonin Perbosc,12200,Villefranche-de-Rouergue,622933.98,6362830.45,IMB/12300/X/02LW,5,,rue,Antonin Perbosc,12200,Villefranche-de-Rouergue,622931.7854,6362817.719,1
12300_0114_00004,4,,rue,Antonin Perbosc,12200,Villefranche-de-Rouergue,622994.98,6362826.48,IMB/12300/X/02LV,4,,rue,Antonin Perbosc,12200,Villefranche-de-Rouergue,623004.9174,6362818.246,1
12105_0090_00020,20,,rue,du Cavagnal,12270,La Fouillade,623046.9,6348070.88,IMB/12105/X/00AA,20,,rue,du Cavagnal,12270,La Fouillade,623047.0318,6348083.804,1
12300_1584_00011,11,,rue,Jean Boudou,12200,Villefranche-de-Rouergue,623076.11,6362838.71,IMB/12300/X/03GS,11,,rue,Jean Boudou,12200,Villefranche-de-Rouergue,623064.1626,6362843.764,1
12300_1584_00008,8,,rue,Jean Boudou,12200,Villefranche-de-Rouergue,623097.68,6362784.11,IMB/12194/X/000U,740,,route,de la Mothe,12800,Quins,653590.6904,6347786.316,0
12300_1070_00019,19,,avenue,de Félix,12200,Villefranche-de-Rouergue,623136.54,6360939.82,IMB/12164/X/0036,3,,,Grand Rue,12600,Mur-de-Barrez,673159.6698,6416169.763,0
12300_0145_00006,6,,rue,Auguste Bénazet,12200,Villefranche-de-Rouergue,623156.01,6361046.13,IMB/12043/X/00W0,246,,rue,des Sources,12450,Calmont,663397.7052,6352711.926,0
12300_1240_00001,1,,rue,des Gantiers,12200,Villefranche-de-Rouergue,623159.08,6362022.55,IMB/12168/X/00JJ,17,,rue,du Faubourg Haut,12230,Nant,724004.863,6324917.296,0
12300_1240_00003,3,,rue,des Gantiers,12200,Villefranche-de-Rouergue,623160.84,6362029.09,IMB/12208/X/00JN,61,,boulevard,Émile Borel,12400,St-Affrique,691415.673,6317341.317,0
12300_1240_00005,5,,rue,des Gantiers,12200,Villefranche-de-Rouergue,623161.37,6362033.75,IMB/12058/X/0021,1,,route,de la Bancalerie,12210,Cassuéjouls,686211.9203,6402492.271,0
12300_1240_00007,7,,rue,des Gantiers,12200,Villefranche-de-Rouergue,623162.31,6362038.4,IMB/12033/X/00EL,4,,rue,Marc André Fabre,12340,Bozouls,677780.9436,6374769.806,0
12301_0030_00008,8,,rue,des Condamines,12260,Villeneuve,623191.79,6371064.2,IMB/12168/X/00JQ,33,,rue,du Faubourg Haut,12230,Nant,723951.4965,6324930.195,0
12301_0030_00009,9,,rue,des Condamines,12260,Villeneuve,623197.59,6371063.68,IMB/12168/X/00IW,33,,rue,du Faubourg Bas,12230,Nant,724384.6494,6324707.217,0
12301_0030_00012,12,,rue,des Condamines,12260,Villeneuve,623214.93,6371062.14,IMB/12021/X/00DZ,2,,moulin,Blanc,12240,Le Bas Ségala,634441.306,6352827.854,0
12301_0030_00013,13,,rue,des Condamines,12260,Villeneuve,623220.73,6371061.62,IMB/12300/X/02G3,110,,route,de Montauban,12200,Villefranche-de-Rouergue,621573.5204,6362963.123,0
12300_3020_00002,2,,rue,de la Trésorerie,12200,Villefranche-de-Rouergue,623235.77,6361813.19,IMB/12300/X/02X0,2,,rue,de la Trésorerie,12200,Villefranche-de-Rouergue,623225.5257,6361805.33,1
12300_a110_00022,22,,mas,de Sainte Marguerite,12200,Villefranche-de-Rouergue,623238.09,6362853.5,IMB/12300/X/02B2,22,,mas,Sainte-Marguerite,12200,Villefranche-de-Rouergue,623250.0683,6362848.52,1
12105_0205_00005,5,,rue,des Pyrenees,12270,La Fouillade,623350.29,6348573.61,IMB/12105/X/00AP,5,,rue,des Pyrénées,12270,La Fouillade,623349.2993,6348560.705,1
12300_0030_00015,15,,rue,Agnes Savignac,12200,Villefranche-de-Rouergue,623354.68,6362458.57,IMB/12300/X/02JH,15,,rue,Agnès Savignac,12200,Villefranche-de-Rouergue,623343.4606,6362465.077,1
12300_2420_00004,4,,place,du Présidial,12200,Villefranche-de-Rouergue,623375.73,6361693.28,IMB/12083/X/005S,11,,rue,Pavée,12110,Cransac,643134.2114,6380879.1,0
12300_0800_00017,17,,rue,de la Côte Pavée,12200,Villefranche-de-Rouergue,623381.08,6361373.24,IMB/12300/X/02RX,17,,rue,de la Côte Pavée,12200,Villefranche-de-Rouergue,623391.8775,6361380.367,1
12105_0205_00001,1,,rue,des Pyrenees,12270,La Fouillade,623399.52,6348582.02,IMB/12076/X/00V0,4,,route,de la Combarelle,12320,Conques-en-Rouergue,652677.3888,6388081.383,0
12300_1040_00039,39,,avenue,Étienne Soulié,12200,Villefranche-de-Rouergue,623405.93,6362478.5,IMB/12300/X/011S,39,,avenue,Étienne Soulié,12200,Villefranche-de-Rouergue,623394.6355,6362484.829,1
12301_a050_00018,18,,lotissement,la Marelle,12260,Villeneuve,623481.88,6371321.29,IMB/12280/X/0065,8,,village,de Nigresserre,12600,Thérondels,676445.4611,6420077.4,0
12242_0120_00027,27,,rue,de la Mairie,12200,Saint-Rémy,623530.97,6366835.49,IMB/12242/X/004N,27,,rue,de la Mairie,12200,St-Rémy,623539.8705,6366844.916,1
12242_0120_00006,6,,rue,de la Mairie,12200,Saint-Rémy,623536.72,6367040.18,IMB/12300/X/03BC,29,,rue,du Sénéchal,12200,Villefranche-de-Rouergue,623395.0618,6361750.973,0
12300_1605_00015,15,,avenue,Jean Gazave,12200,Villefranche-de-Rouergue,623576.26,6361985.59,IMB/12300/X/012W,15,,avenue,Jean Gazave,12200,Villefranche-de-Rouergue,623586.836,6361978.089,1
12300_1024_00003,3,,impasse,de l’Ensoleillé,12200,Villefranche-de-Rouergue,623582.39,6362621.23,IMB/12169/X/00BV,36,,avenue,de l'Étang,12800,Naucelle,647469.9251,6344005.943,0
12300_1005_00001,1,,rue,des Églantiers,12200,Villefranche-de-Rouergue,623625.4,6362381.95,IMB/12203/X/009F,7,,rue,Robert Migairou,12250,Roquefort-sur-Soulzon,696988.6966,6319404.704,0
12300_1005_00003,3,,rue,des Églantiers,12200,Villefranche-de-Rouergue,623633.5,6362379.52,IMB/12076/X/00PE,1,,chemin,de Servols,12320,Conques-en-Rouergue,652225.3554,6383936.288,0
12300_1005_00005,5,,rue,des Églantiers,12200,Villefranche-de-Rouergue,623643.1,6362376.29,IMB/12057/X/005W,25,,avenue,de Lodève,12120,Cassagnes-Bégonhès,662306.3538,6340977.429,0
12300_1005_00007,7,,rue,des Églantiers,12200,Villefranche-de-Rouergue,623654.37,6362372.38,IMB/12290/X/006G,298,,impasse,du Moulin de Rayssac,12220,Vaureilles,633762.5926,6374814.173,0
12300_0265_00005,5,,avenue,du Belvédère,12200,Villefranche-de-Rouergue,623666.29,6362533.33,IMB/12232/X/001A,119,,rue,de la Lavogne,12250,St-Jean-et-St-Paul,700173.2289,6315859.992,0
12300_2560_03069,3069,,route,de Rieupeyroux,12200,Villefranche-de-Rouergue,623724.03,6360983,IMB/12300/X/078O,3069,,route,de Rieupeyroux,12200,Villefranche-de-Rouergue,625035.0426,6359880.856,1
12300_0265_00048,48,,avenue,du Belvédère,12200,Villefranche-de-Rouergue,623768.19,6362450.43,IMB/12001/X/006V,6,,impasse,Daude de Prades,12630,Agen-d'Aveyron,673718.4831,6362065.494,0
12300_1503_00022,22,,avenue,Hugues Panassié,12200,Villefranche-de-Rouergue,623809.99,6362229.39,IMB/12299/X/00AT,3,,rue,de la Boule d'Or,12430,Villefranche-de-Panat,676462.0042,6331284.601,0
12300_0265_00064,64,,avenue,du Belvédère,12200,Villefranche-de-Rouergue,623846.31,6362450.93,IMB/12300/X/00VS,64,,avenue,du Belvédère,12200,Villefranche-de-Rouergue,623834.9064,6362457.074,1
12300_0265_00059,59,,avenue,du Belvédère,12200,Villefranche-de-Rouergue,623898,6362447.42,IMB/12300/X/00VP,59,,avenue,du Belvédère,12200,Villefranche-de-Rouergue,623887.6083,6362455.184,1
12300_0265_00102,102,,avenue,du Belvédère,12200,Villefranche-de-Rouergue,623943.92,6362348.87,IMB/12300/X/00WF,102,,avenue,du Belvédère,12200,Villefranche-de-Rouergue,623931.4547,6362352.598,1
12300_1305_00042,42,,route,de la Gasse,12200,Villefranche-de-Rouergue,624008.96,6361107.21,IMB/12300/X/07D8,42,,route,de la Gasse,12200,Villefranche-de-Rouergue,623998.1362,6361100.121,1
12210_t53xyn_00764,764,,route,de Bel Air,12270,Saint-André-de-Najac,624352.3,6345328.63,IMB/12210/X/0057,764,,route,de Bel Air,12270,St-André-de-Najac,624339.3851,6345328.899,1
12227_a76aps_00010,10,,chemin,des vergers,12260,Saint-Igest,625799.16,6373629.71,IMB/12227/X/002O,10,,chemin,des Vergers,12260,St-Igest,625805.9952,6373640.776,1
12301_byol3w_00022,22,,chemin,de Subretesque,12260,Villeneuve,625948.42,6376266.98,IMB/12106/X/000B,218,,route,de Ceyrac le Haut,12340,Gabriac,686077.5048,6373181.226,0
12136_0025_00010,10,,impasse,des Chataigniers,12350,Maleville,626006.98,6366974.74,IMB/12033/X/00A1,14,,route,de Saint-Julien,12340,Bozouls,677475.5541,6375077.775,0
12136_0005_00010,10,,rue,des Acacias,12350,Maleville,626392.38,6367053.54,IMB/12136/X/00FN,10,,rue,des Acacias,12350,Maleville,626400.9647,6367063.198,1
12170_0340_00404,404,,chemin,des Genevriers,12700,Naussac,626408.5,6380971.54,IMB/12170/X/004C,404,,chemin,des Genévriers,12700,Naussac,626414.8332,6380960.165,1
12052_1115_00001,1,,rue,du Ruisseau,12700,Capdenac-Gare,626464.37,6384773.39,IMB/12102/X/00L2,13,,rue,du Prat Long,12450,Flavin,668542.0965,6354867.281,0
12052_0172_00003,3,,ruelle,du Cantou,12700,Capdenac-Gare,626490,6384730.77,IMB/12300/X/014B,92,,avenue,Joseph Caylet,12200,Villefranche-de-Rouergue,622896.9443,6360118.02,0
12052_a090_00013,13,,clos,Bardet,12700,Capdenac-Gare,626710.76,6385637,IMB/12048/X/001B,79,,rue,Beausoleil,12460,Campouriez,666791.6636,6397069.78,0
12052_0800_00004,4,,rue,Michel Fournier,12700,Capdenac-Gare,626715.62,6386337.92,IMB/12052/X/01GF,4,,rue,Michel Fournier,12700,Capdenac-Gare,626708.925,6386326.754,1
12052_0500_00002,2,,rue,Jean Jaurès,12700,Capdenac-Gare,626716.78,6386702.39,IMB/12052/X/017E,2,,rue,Jean Jaurès,12700,Capdenac-Gare,626707.8051,6386711.758,1
12052_0800_00003,3,,rue,Michel Fournier,12700,Capdenac-Gare,626730.34,6386347.41,IMB/12131/X/00M2,1231,,route,des Deux-Ponts,12740,La Loubière,673480.0162,6364000.586,0
12052_0020_00004,4,,rue,Albert Andrieu,12700,Capdenac-Gare,626801.4,6386462.22,IMB/12052/X/00OY,4,,rue,Albert Andrieu,12700,Capdenac-Gare,626788.7075,6386465.09,1
12052_0030_00041,41,,avenue,Albert Thomas,12700,Capdenac-Gare,626802.2,6385843.67,IMB/12043/X/01NJ,1441,,route,de Milhac,12450,Calmont,660850.8281,6348181.992,0
12227_n99vml_00055,55,,route,de couderc-batut,12260,Saint-Igest,626964,6371833.77,IMB/12227/X/001L,55,,route,de Couderc Batut,12260,St-Igest,626958.0897,6371822.182,1
12052_0030_00001,1,,avenue,Albert Thomas,12700,Capdenac-Gare,626993.14,6386535.53,IMB/12052/X/000B,1,,avenue,Albert Thomas,12700,Capdenac-Gare,626997.072,6386523.186,1
12252_ltuwdm_00052,52,,route,de Maillergues,12260,Salles-Courbatiès,627167.34,6376402.81,IMB/12252/X/001Y,52,,route,de Maillergues,12260,Salles-Courbatiès,627159.0152,6376412.777,1
12052_1255_00030,30,,rue,Vincent Auriol,12700,Capdenac-Gare,627210.1,6385730.83,IMB/12028/X/004Q,5,b,lotissement,les Placettes,12300,Boisse-Penchot,637039.3767,6388087.161,0
12052_a015_00021,21,,lotissement,le Ségala,12700,Capdenac-Gare,627340.22,6385926.28,IMB/12052/X/00MF,21,,lotissement,le Ségala,12700,Capdenac-Gare,627344.6249,6385914.084,1
12052_0365_00040,40,,rue,des Fauvettes,12700,Capdenac-Gare,627469.17,6386110.2,IMB/12052/X/00WD,40,,rue,des Fauvettes,12700,Capdenac-Gare,627474.6517,6386121.941,1
12159_0066_00345,345,,impasse,de Maligorse,12200,Morlhon-le-Haut,627475.3,6357029.48,IMB/12013/X/023G,21,,lieu dit,Tramons Bas,12110,Aubin,643405.4886,6383716.462,0
12052_0465_00032,32,,rue,des Grives,12700,Capdenac-Gare,627539.07,6386077.62,IMB/12065/X/009P,1756,,route,de Taurines,12120,Centrès,657412.5815,6340572.243,0
12052_0790_00009,9,,rue,Maurice Lagarrigue,12700,Capdenac-Gare,627546.64,6386643.19,IMB/12197/X/00RR,3,,route,de Sonnac,12170,Réquista,662933.1378,6326407.546,0
12029_7x8nn3_00148,148,,rue,des Vignes,12270,Bor-et-Bar,627575.17,6344083.19,IMB/12029/X/002V,148,,rue,des Vignes,12270,Bor-et-Bar,627567.8958,6344093.982,1
12052_0465_00016,16,,rue,des Grives,12700,Capdenac-Gare,627615.77,6386283.13,IMB/12052/X/00Y2,16,,rue,des Grives,12700,Capdenac-Gare,627628.0392,6386278.941,1
12052_0060_00052,52,,rue,Arsène Lugan,12700,Capdenac-Gare,627683.05,6387028.54,IMB/12234/X/00D6,131,,rue,des Agoustes Basses,12120,Ste-Juliette-sur-Viaur,661489.8888,6346447.843,0
12052_0920_00056,56,,avenue,Pasteur,12700,Capdenac-Gare,627693.51,6386840.79,IMB/12217/X/007N,118,,route,du Gouzou,12260,Ste-Croix,617912.446,6369949.146,0
12029_rn6gaf_02157,2157,,route,de Laurelie,12270,Bor-et-Bar,627728.65,6344026.65,IMB/12029/X/001Z,2157,,route,de Laurelie,12270,Bor-et-Bar,627723.8559,6344038.759,1
12052_0920_00051,51,,avenue,Pasteur,12700,Capdenac-Gare,627743.95,6386883.76,IMB/12223/X/0098,7,,rue,des Caminades,12420,Argences en Aubrac,686837.9496,6410709.502,0
12034_d7fsxz_01865,1865,,route,de Lanuejouls,12350,Brandonnet,631588.5,6367338.6,IMB/12034/X/004X,1865,,route,de Lanuejouls,12350,Brandonnet,631586.5915,6367351.441,1
12012_j7y8bu_00006,6,,Lotissement,Beau Soleil,12700,Asprières,631705.13,6383388.95,IMB/12012/X/007F,6,,Lotissement,Beau Soleil,12700,Asprières,631705.1337,6383389.235,1
12012_j7y8bu_00007,7,,Lotissement,Beau Soleil,12700,Asprières,631719.69,6383406.01,IMB/12012/X/007G,7,,Lotissement,Beau Soleil,12700,Asprières,631719.6894,6383405.916,1
